Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Sony Xperia M4 Aqua dual 3G E2312  (Sony Tulip DS),Apr 2015,Qualcomm Snapdragon 615 MSM8939,2400 mAh,2 GB,8 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
Sony Xperia E4g LTE E2006  (Sony Calla SS),Apr 2015,MediaTek MT6732,2300 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia E4g LTE E2053  (Sony Calla SS),Apr 2015,MediaTek MT6732,2300 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia E4g Dual TD-LTE E2043  (Sony Calla DS),Apr 2015,MediaTek MT6732,2300 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia E4g Dual LTE E2033  (Sony Calla DS),Apr 2015,MediaTek MT6732,2300 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia E4g LTE E2003  (Sony Calla SS),Apr 2015,MediaTek MT6732,2300 mAh,1 GB,8 GB,4 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia C4 dual LTE E5333  (Sony Cosmos DS),Jun 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C4 TD-LTE E5353  (Sony Cosmos SS),Jun 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C4 DTV dual LTE E5343  (Sony Cosmos DS),Jun 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C4 LTE E5303  (Sony Cosmos SS),Jun 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C4 dual TD-LTE E5363  (Sony Cosmos DS),Jun 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z4 LTE-A SO-03G  (Sony Ivy SS),Jun 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2930 mAh,3 GB,32 GB,20 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z4 TD-LTE 402SO  (Sony Ivy SS),Jun 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2930 mAh,3 GB,32 GB,20 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z4 WiMAX 2+ SOV31  (Sony Ivy SS),Jun 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2930 mAh,3 GB,32 GB,20 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia A4 LTE SO-04G,Jun 2015,Qualcomm Snapdragon 801 MSM8974AC v3,2600 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color PVA TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z3+ TD-LTE E6553 / Xperia Z3 Plus  (Sony Ivy SS),Jun 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2930 mAh,3 GB,32 GB,20 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z3+ Dual TD-LTE E6533 / Xperia Z4  (Sony Ivy DS),Jun 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2930 mAh,3 GB,32 GB,20 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C5 Ultra Dual LTE E5533  (Sony Lavender DS),Aug 2015,MediaTek MT6752,2930 mAh,2 GB,16 GB,13 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C5 Ultra LTE E5506  (Sony Lavender SS),Aug 2015,MediaTek MT6752,2930 mAh,2 GB,16 GB,13 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 TD-LTE E5653  (Sony Holly SS),Aug 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 LTE E5603  (Sony Holly SS),Aug 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 dual LTE E5643  (Sony Holly DS),Aug 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 dual LTE E5633  (Sony Holly DS),Aug 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C5 Ultra TD-LTE E5553  (Sony Lavender SS),Aug 2015,MediaTek MT6752,2930 mAh,2 GB,16 GB,13 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia C5 Ultra Dual TD-LTE E5563  (Sony Lavender DS),Aug 2015,MediaTek MT6752,2930 mAh,2 GB,16 GB,13 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 LTE E5606  (Sony Holly SS),Sep 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia M5 dual TD-LTE E5663  (Sony Holly DS),Sep 2015,MediaTek Helio X10  MT6795,2600 mAh,3 GB,16 GB,21 MP,13 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z5 Compact TD-LTE E5803 S50  (Sony Suzuran),Sep 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2700 mAh,2 GB,32 GB,22 MP,5 MP,720x1280,Color TN-TFT LCD,Google Android 5.1.1 (Lollipop)
Sony Xperia C4 LTE E5306  (Sony Cosmos SS),Sep 2015,MediaTek MT6752,2600 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Sony Xperia Z5 Compact TD-LTE E5823 S50  (Sony Suzuran),Oct 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2700 mAh,2 GB,32 GB,22 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.1.1 (Lollipop)
Sony Xperia Z5 Dual TD-LTE E6683 S60  (Sony Sumire DS),Oct 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2900 mAh,3 GB,32 GB,22 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.1.1 (Lollipop)
Sony Xperia Z5 TD-LTE E6653 S60  (Sony Sumire SS),Oct 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2900 mAh,3 GB,32 GB,22 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.1.1 (Lollipop)
Sony Xperia Z5 TD-LTE E6603 S60  (Sony Sumire SS),Oct 2015,Qualcomm Snapdragon 810 MSM8994 v2.1,2900 mAh,3 GB,32 GB,22 MP,5 MP,1080x1920,Color TN-TFT LCD,Google Android 5.1.1 (Lollipop)
