Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Apple iPhone 11 A2111 Dual SIM TD-LTE NA 64GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,64 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 Pro A2160 Dual SIM TD-LTE NA 64GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,64 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Global Dual SIM TD-LTE 64GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,64 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2161 Dual SIM TD-LTE NA 64GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,64 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 512GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,512 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Global Dual SIM TD-LTE 256GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,256 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Global Dual SIM TD-LTE 64GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,64 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Dual SIM TD-LTE JP 512GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,512 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Dual SIM TD-LTE JP 256GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,256 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2218 Dual SIM TD-LTE JP 64GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,64 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Dual SIM TD-LTE JP 512GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,512 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Dual SIM TD-LTE JP 256GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,256 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2215 Dual SIM TD-LTE JP 64GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,64 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 A2221 Dual SIM TD-LTE JP 256GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,256 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2221 Dual SIM TD-LTE JP 128GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,128 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2221 Dual SIM TD-LTE JP 64GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,64 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 A2221 Global Dual SIM TD-LTE 256GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,256 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 Pro A2217 Dual SIM TD-LTE CN 512GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,512 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2220 Dual SIM TD-LTE CN 64GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,64 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2217 Dual SIM TD-LTE CN 256GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,256 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro A2217 Dual SIM TD-LTE CN 64GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,64 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2220 Dual SIM TD-LTE CN 256GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,256 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 Pro Max A2220 Dual SIM TD-LTE CN 512GB  (Apple iPhone 12.5),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3969 mAh,4 GB,512 GB,12 MP,12 MP,1242x2688,AM-OLED,Apple iOS 13
Apple iPhone 11 A2111 Dual SIM TD-LTE NA 128GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,128 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 Pro A2160 Dual SIM TD-LTE NA 512GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,512 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 A2111 Dual SIM TD-LTE NA 256GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,256 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone 11 Pro A2160 Dual SIM TD-LTE NA 256GB  (Apple iPhone 12.3),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3046 mAh,4 GB,256 GB,12 MP,12 MP,1125x2436,AM-OLED,Apple iOS 13
Apple iPhone 11 A2221 Global Dual SIM TD-LTE 128GB  (Apple iPhone 12.1),Sep 2019,Apple A13 Bionic APL1085 / APL1W85 (T8030),3110 mAh,4 GB,128 GB,12 MP,12 MP,828x1792,Color IPS TFT LCD,Apple iOS 13
Apple iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 128GB  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
Apple iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 256GB  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,256 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
Apple iPhone SE 2020 2nd gen A2298 TD-LTE CN 256GB / A2297  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,256 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
Apple iPhone SE 2020 2nd gen A2298 TD-LTE CN 128GB / A2297  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,128 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
Apple iPhone SE 2020 2nd gen A2298 TD-LTE CN 64GB / A2297  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,64 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
Apple iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 64GB  (Apple iPhone 12.8),Apr 2020,Apple A13 Bionic APL1085 / APL1W85 (T8030),1821 mAh,3 GB,64 GB,12 MP,7 MP,750x1334,Color IPS TFT LCD,Apple iOS 13.4
