Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo Y55 Dual SIM TD-LTE CN,Oct 2016,Qualcomm Snapdragon 430 MSM8937,2730 mAh,2 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y55A Dual SIM TD-LTE CN,Oct 2016,Qualcomm Snapdragon 430 MSM8937,2730 mAh,2 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y55L Dual SIM TD-LTE IN,Oct 2016,Qualcomm Snapdragon 430 MSM8937,2730 mAh,2 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo X9 Dual SIM TD-LTE 64GB,Nov 2016,Qualcomm Snapdragon 625 MSM8953,3050 mAh,4 GB,64 GB,16 MP,19 MP,1080x1920,AM-OLED,Google Android 6.0.1 (Marshmallow)
Vivo Y67A Dual SIM TD-LTE CN / Y67,Nov 2016,MediaTek MT6750,3000 mAh,4 GB,32 GB,12 MP,16 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Y67L Dual SIM TD-LTE CN,Nov 2016,MediaTek MT6750,3000 mAh,4 GB,32 GB,12 MP,16 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5 Dual SIM LTE TH ID PH 1601,Dec 2016,MediaTek MT6750,3000 mAh,4 GB,32 GB,12 MP,20 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5 Dual SIM TD-LTE IN 1601,Dec 2016,MediaTek MT6750,3000 mAh,4 GB,32 GB,12 MP,20 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo V5 Dual SIM TD-LTE MY VN 1601,Dec 2016,MediaTek MT6750,3000 mAh,4 GB,32 GB,12 MP,20 MP,720x1280,Color IPS TFT LCD,Google Android 6.0.1 (Marshmallow)
Vivo Xplay 6 Dual SIM TD-LTE 128GB,Dec 2016,Qualcomm Snapdragon 820 MSM8996,4080 mAh,6 GB,128 GB,12 MP,16 MP,1440x2560,AM-OLED,Google Android 6.0.1 (Marshmallow)
